z[m]        G0[T/m]       G1[T/m] 
     0.00000000        0.000000      0.000000 
     0.00300014        0.000000      0.000000 
     0.00600029        0.000000      0.000000 
     0.00900043        0.000000      0.000000 
     0.01200058        0.000000      0.000000 
     0.01500072        0.000000      0.000000 
     0.01800086        0.000000      0.000000 
     0.02100101        0.000000      0.000000 
     0.02400115        0.000000      0.000000 
     0.02700130        0.000000      0.000000 
     0.03000144        0.000000      0.000000 
     0.03300158        0.000000      0.000000 
     0.03600173        0.000000      0.000000 
     0.03900187        0.000000      0.000000 
     0.04200202        0.000000      0.000000 
     0.04500216        0.000000      0.000000 
     0.04800230        0.000000      0.000000 
     0.05100245        0.000000      0.000000 
     0.05400259        0.000000      0.000000 
     0.05700274        0.000000      0.000000 
     0.06000288        0.000000      0.000000 
     0.06300302        0.000000      0.000000 
     0.06600317        0.000000      0.000000 
     0.06900331        0.000000      0.000000 
     0.07200345        0.000000      0.000000 
     0.07500360        0.000000      0.000000 
     0.07800374        0.000000      0.000000 
     0.08100389        0.000000      0.000000 
     0.08400403        0.000000      0.000000 
     0.08700417        0.000000      0.000000 
     0.09000432        0.000000      0.000000 
     0.09300446        0.000000      0.000000 
     0.09600461        0.000000      0.000000 
     0.09900475        0.000000      0.000000 
     0.10200489        0.000000      0.000000 
     0.10500504        0.000000      0.000000 
     0.10800518        0.000000      0.000000 
     0.11100533        0.000000      0.000000 
     0.11400547        0.000000      0.000000 
     0.11700561        0.000000      0.000000 
     0.12000576        0.000000      0.000000 
     0.12300590        0.000000      0.000000 
     0.12600605        0.000000      0.000000 
     0.12900619        0.000000      0.000000 
     0.13200633        0.000000      0.000000 
     0.13500648        0.000000      0.000000 
     0.13800662        0.000000      0.000000 
     0.14100677        0.000000      0.000000 
     0.14400691        0.000000      0.000000 
     0.14700705        0.000000      0.000000 
     0.15000720        0.000000      0.000000 
     0.15300734        0.000000      0.000000 
     0.15600749        0.000000      0.000000 
     0.15900763        0.000000      0.000000 
     0.16200777        0.000000      0.000000 
     0.16500792        0.000000      0.000000 
     0.16800806        0.000000      0.000000 
     0.17100821        0.000000      0.000000 
     0.17400835        0.000000      0.000000 
     0.17700849        0.000000      0.000000 
     0.18000864        0.000000      0.000000 
     0.18300878        0.000000      0.000000 
     0.18600893        0.000000      0.000000 
     0.18900907        0.000000      0.000000 
     0.19200921        0.000000      0.000000 
     0.19500936        0.000000      0.000000 
     0.19800950        0.000000      0.000000 
     0.20100965        0.000000      0.000000 
     0.20400979        0.000000      0.000000 
     0.20700993        0.000000      0.000000 
     0.21001008        0.000000      0.000000 
     0.21301022        0.000000      0.000000 
     0.21601036        0.000000      0.000000 
     0.21901051        0.000000      0.000000 
     0.22201065        0.000000      0.000000 
     0.22501080        0.000000      0.000000 
     0.22801094        0.000000      0.000000 
     0.23101108        0.000000      0.000000 
     0.23401123        0.000000      0.000000 
     0.23701137        0.000000      0.000000 
     0.24001152        0.000000      0.000000 
     0.24301166        0.000000      0.000000 
     0.24601180        0.000000      0.000000 
     0.24901195        0.000000      0.000000 
     0.25201209        0.000000      0.000000 
     0.25501224        0.000000      0.000000 
     0.25801238        0.000000      0.000000 
     0.26101252        0.000000      0.000000 
     0.26401267        0.000000      0.000000 
     0.26701281        0.000000      0.000000 
     0.27001296        0.000000      0.000000 
     0.27301310        0.000000      0.000000 
     0.27601324        0.000000      0.000000 
     0.27901339        0.000000      0.000000 
     0.28201353        0.000000      0.000000 
     0.28501368        0.000000      0.000000 
     0.28801382        0.000000      0.000000 
     0.29101396        0.000000      0.000000 
     0.29401411        0.000000      0.000000 
     0.29701425        0.000000      0.000000 
     0.30001440        0.000000      0.000000 
     0.30301454        0.000000      0.000000 
     0.30601468        0.000000      0.000000 
     0.30901483        0.000000      0.000000 
     0.31201497        0.000000      0.000000 
     0.31501512        0.000000      0.000000 
     0.31801526        0.000000      0.000000 
     0.32101540        0.000000      0.000000 
     0.32401555        0.000000      0.000000 
     0.32701569        0.000000      0.000000 
     0.33001584        0.000000      0.000000 
     0.33301598        0.000000      0.000000 
     0.33601612        0.000000      0.000000 
     0.33901627        0.000000      0.000000 
     0.34201641        0.000000      0.000000 
     0.34501656        0.000000      0.000000 
     0.34801670        0.000000      0.000000 
