z[m]        G0[T/m]       G1[T/m] 
     0.00000000        0.000000      0.000000 
     0.00300121        0.000000     -1.735711 
     0.00600243        0.000000     -4.248345 
     0.00900364        0.000000     -9.708190 
     0.01200485        0.000000    -18.665483 
     0.01500606      -40.544789    -28.330465 
     0.01800728      -40.544789    -35.025024 
     0.02100849      -40.544789    -38.343992 
     0.02400970      -40.544789    -39.723362 
     0.02701091      -40.544789    -40.262912 
     0.03001213      -40.544789    -40.465238 
     0.03301334      -40.544789    -40.517057 
     0.03601455      -40.544789    -40.464243 
     0.03901576      -40.544789    -40.260031 
     0.04201698      -40.544789    -39.715890 
     0.04501819      -40.544789    -38.325155 
     0.04801940      -40.544789    -34.982031 
     0.05102061      -40.544789    -28.254056 
     0.05402183        0.000000    -18.575969 
     0.05702304        0.000000     -9.642875 
     0.06002425        0.000000     -4.215261 
     0.06302546        0.000000     -1.721856 
     0.06602668        0.000000      0.000000 
     0.06902789        0.000000      0.000000 
     0.07202910        0.000000      0.000000 
     0.07503031        0.000000      1.662615 
     0.07803153        0.000000      4.053137 
     0.08103274        0.000000      9.864490 
     0.08403395        0.000000     21.994825 
     0.08703516       80.066194     40.540546 
     0.09003638       80.066194     58.902285 
     0.09303759       80.066194     70.711110 
     0.09603880       80.066194     76.308476 
     0.09904001       80.066194     78.593246 
     0.10204123       80.066194     79.482270 
     0.10504244       80.066194     79.808546 
     0.10804365       80.066194     79.870669 
     0.11104486       80.066194     79.723395 
     0.11404608       80.066194     79.235521 
     0.11704729       80.066194     77.953334 
     0.12004850       80.066194     74.696808 
     0.12304971       80.066194     67.042108 
     0.12605093       80.066194     52.403999 
     0.12905214        0.000000     32.937487 
     0.13205335        0.000000     16.433896 
     0.13505457        0.000000      7.038094 
     0.13805578        0.000000      2.867076 
     0.14105699        0.000000      1.192215 
     0.14405820        0.000000      0.000000 
     0.14705942        0.000000      0.000000 
     0.15006063        0.000000     -1.263999 
     0.15306184        0.000000     -3.051354 
     0.15606305        0.000000     -7.482706 
     0.15906427        0.000000    -17.302531 
     0.16206548        0.000000    -34.011223 
     0.16506669      -78.331800    -52.904325 
     0.16806790      -78.331800    -66.558815 
     0.17106912      -78.331800    -73.514342 
     0.17407033      -78.331800    -76.438865 
     0.17707154      -78.331800    -77.586527 
     0.18007275      -78.331800    -78.020532 
     0.18307397      -78.331800    -78.143097 
     0.18607518      -78.331800    -78.063058 
     0.18907639      -78.331800    -77.709733 
     0.19207760      -78.331800    -76.758388 
     0.19507882      -78.331800    -74.319681 
     0.19808003      -78.331800    -68.395717 
     0.20108124      -78.331800    -56.165994 
     0.20408245        0.000000    -37.830999 
     0.20708367        0.000000    -20.091423 
     0.21008488        0.000000     -8.896634 
     0.21308609        0.000000     -3.643803 
     0.21608730        0.000000     -1.498873 
     0.21908852        0.000000      0.000000 
     0.22208973        0.000000      0.000000 
     0.22509094        0.000000      0.000000 
     0.22809215        0.000000      1.506447 
     0.23109337        0.000000      3.665012 
     0.23409458        0.000000      8.941604 
     0.23709579        0.000000     20.127759 
     0.24009700        0.000000     37.690750 
     0.24309822       77.068200     55.640801 
     0.24609943       77.068200     67.498985 
     0.24910064       77.068200     73.209761 
     0.25210186       77.068200     75.555283 
     0.25510307       77.068200     76.469659 
     0.25810428       77.068200     76.808283 
     0.26110549       77.068200     76.882036 
     0.26410671       77.068200     76.756012 
     0.26710792       77.068200     76.318214 
     0.27010913       77.068200     75.162526 
     0.27311034       77.068200     72.219984 
     0.27611156       77.068200     65.242261 
     0.27911277       77.068200     51.635708 
     0.28211398        0.000000     33.001221 
     0.28511519        0.000000     16.702641 
     0.28811641        0.000000      7.204251 
     0.29111762        0.000000      2.936828 
     0.29411883        0.000000      1.217738 
     0.29712004        0.000000      0.000000 
     0.30012126        0.000000      0.000000 
     0.30312247        0.000000      0.000000 
     0.30612368        0.000000     -1.184434 
     0.30912489        0.000000     -2.852750 
     0.31212611        0.000000     -7.000609 
     0.31512732        0.000000    -16.285689 
     0.31812853        0.000000    -32.394914 
     0.32112974      -77.074300    -51.084250 
     0.32413096      -77.074300    -64.919088 
     0.32713217      -77.074300    -72.078285 
     0.33013338      -77.074300    -75.109564 
     0.33313459      -77.074300    -76.301457 
     0.33613581      -77.074300    -76.753945 
     0.33913702      -77.074300    -76.887278 
     0.34213823      -77.074300    -76.820085 
     0.34513944      -77.074300    -76.493098 
     0.34814066      -77.074300    -75.606565 
     0.35114187      -77.074300    -73.330455 
     0.35414308      -77.074300    -67.772262 
     0.35714429      -77.074300    -56.143626 
     0.36014551        0.000000    -38.317047 
     0.36314672        0.000000    -20.613598 
     0.36614793        0.000000     -9.197718 
     0.36914914        0.000000     -3.774090 
     0.37215036        0.000000     -1.549774 
     0.37515157        0.000000      0.000000 
     0.37815278        0.000000      0.000000 
     0.38115400        0.000000      0.000000 
     0.38415521        0.000000      0.000000 
     0.38715642        0.000000      1.452698 
     0.39015763        0.000000      3.529583 
     0.39315885        0.000000      8.622157 
     0.39616006        0.000000     19.515575 
     0.39916127        0.000000     36.890263 
     0.40216248       77.074700     54.991651 
     0.40516370       77.074700     67.149003 
     0.40816491       77.074700     73.062576 
     0.41116612       77.074700     75.501100 
     0.41416733       77.074700     76.452835 
     0.41716855       77.074700     76.806991 
     0.42016976       77.074700     76.889316 
     0.42317097       77.074700     76.772543 
     0.42617218       77.074700     76.353037 
     0.42917340       77.074700     75.242282 
     0.43217461       77.074700     72.410185 
     0.43517582       77.074700     65.660633 
     0.43817703       77.074700     52.348077 
     0.44117825        0.000000     33.794010 
     0.44417946        0.000000     17.255398 
     0.44718067        0.000000      7.476611 
     0.45018188        0.000000      3.049670 
     0.45318310        0.000000      1.262447 
     0.45618431        0.000000      0.000000 
     0.45918552        0.000000      0.000000 
     0.46218673        0.000000      0.000000 
     0.46518795        0.000000      0.000000 
     0.46818916        0.000000     -1.331661 
     0.47119037        0.000000     -3.269729 
     0.47419158        0.000000     -8.083446 
     0.47719280        0.000000    -18.495152 
     0.48019401        0.000000    -35.164567 
     0.48319522      -72.822221    -52.401366 
     0.48619643      -72.822221    -63.787607 
     0.48919765      -72.822221    -69.222902 
     0.49219886      -72.822221    -71.430791 
     0.49520007      -72.822221    -72.287333 
     0.49820128      -72.822221    -72.613761 
     0.50120250      -72.822221    -72.713568 
     0.50420371      -72.822221    -72.674134 
     0.50720492      -72.822221    -72.461413 
     0.51020614      -72.822221    -71.882791 
     0.51320735      -72.822221    -70.384936 
     0.51620856      -72.822221    -66.590467 
     0.51920977      -72.822221    -57.938422 
     0.52221099      -72.822221    -42.667401 
     0.52521220        0.000000    -24.773112 
     0.52821341        0.000000    -11.541451 
     0.53121462        0.000000     -4.759420 
     0.53421584        0.000000     -1.918706 
     0.53721705        0.000000     -0.802225 
     0.54021826        0.000000      0.000000 
     0.54321947        0.000000      0.000000 
     0.54622069        0.000000      0.000000 
     0.54922190        0.000000      0.000000 
     0.55222311        0.000000      1.656785 
     0.55522432        0.000000      4.098454 
     0.55822554        0.000000     10.027762 
     0.56122675        0.000000     22.081742 
     0.56422796       71.939100     39.464377 
     0.56722917       71.939100     55.370866 
     0.57023039       71.939100     64.875392 
     0.57323160       71.939100     69.161208 
     0.57623281       71.939100     70.867484 
     0.57923402       71.939100     71.527519 
     0.58223524       71.939100     71.774500 
     0.58523645       71.939100     71.834261 
     0.58823766       71.939100     71.758601 
     0.59123887       71.939100     71.481694 
     0.59424009       71.939100     70.748524 
     0.59724130       71.939100     68.855189 
     0.60024251       71.939100     64.135604 
     0.60324372       71.939100     53.903909 
     0.60624494       71.939100     37.471558 
     0.60924615        0.000000     20.416875 
     0.61224736        0.000000      9.114215 
     0.61524857        0.000000      3.705982 
     0.61824979        0.000000      1.502272 
     0.62125100        0.000000      0.000000 
     0.62425221        0.000000      0.000000 
     0.62725342        0.000000      0.000000 
     0.63025464        0.000000      0.000000 
     0.63325585        0.000000      0.000000 
     0.63625706        0.000000     -1.282828 
     0.63925828        0.000000     -3.148147 
     0.64225949        0.000000     -7.786151 
     0.64526070        0.000000    -17.850818 
     0.64826191        0.000000    -34.059350 
     0.65126313      -71.103400    -50.940673 
     0.65426434      -71.103400    -62.161495 
     0.65726555      -71.103400    -67.537751 
     0.66026676      -71.103400    -69.724762 
     0.66326798      -71.103400    -70.573394 
     0.66626919      -71.103400    -70.897043 
     0.66927040      -71.103400    -70.996899 
     0.67227161      -71.103400    -70.960448 
     0.67527283      -71.103400    -70.756228 
     0.67827404      -71.103400    -70.199507 
     0.68127525      -71.103400    -68.758133 
     0.68427646      -71.103400    -65.103988 
     0.68727768      -71.103400    -56.749940 
     0.69027889      -71.103400    -41.927719 
     0.69328010        0.000000    -24.436351 
     0.69628131        0.000000    -11.415871 
     0.69928253        0.000000     -4.712529 
     0.70228374        0.000000     -1.899406 
     0.70528495        0.000000     -0.793511 
     0.70828616        0.000000      0.000000 
     0.71128738        0.000000      0.000000 
     0.71428859        0.000000      0.000000 
     0.71728980        0.000000      0.000000 
     0.72029101        0.000000      0.000000 
     0.72329223        0.000000      1.564584 
     0.72629344        0.000000      3.866961 
     0.72929465        0.000000      9.479341 
     0.73229586        0.000000     21.000757 
     0.73529708       70.267700     37.879387 
     0.73829829       70.267700     53.600714 
     0.74129950       70.267700     63.126738 
     0.74430071       70.267700     67.454934 
     0.74730193       70.267700     69.182364 
     0.75030314       70.267700     69.850815 
     0.75330435       70.267700     70.101822 
     0.75630557       70.267700     70.165467 
     0.75930678       70.267700     70.096982 
     0.76230799       70.267700     69.836865 
     0.76530920       70.267700     69.146151 
     0.76831042       70.267700     67.361771 
     0.77131163       70.267700     62.901486 
     0.77431284       70.267700     53.153934 
     0.77731405       70.267700     37.272340 
     0.78031527        0.000000     20.493666 
     0.78331648        0.000000      9.201164 
     0.78631769        0.000000      3.747475 
     0.78931890        0.000000      1.517547 
     0.79232012        0.000000      0.000000 
     0.79532133        0.000000      0.000000 
     0.79832254        0.000000      0.000000 
     0.80132375        0.000000      0.000000 
     0.80432497        0.000000      0.000000 
     0.80732618        0.000000      0.000000 
     0.81032739        0.000000     -1.224018 
     0.81332860        0.000000     -3.000914 
     0.81632982        0.000000     -7.427192 
     0.81933103        0.000000    -17.087538 
     0.82233224        0.000000    -32.806007 
     0.82533345      -69.480678    -49.386926 
     0.82833467      -69.480678    -60.530735 
     0.83133588      -69.480678    -65.905866 
     0.83433709      -69.480678    -68.098081 
     0.83733830      -69.480678    -68.949087 
     0.84033952      -69.480678    -69.274034 
     0.84334073      -69.480678    -69.375820 
     0.84634194      -69.480678    -69.343738 
     0.84934315      -69.480678    -69.150108 
     0.85234437      -69.480678    -68.620088 
     0.85534558      -69.480678    -67.247468 
     0.85834679      -69.480678    -63.763138 
     0.86134800      -69.480678    -55.760788 
     0.86434922      -69.480678    -41.432018 
     0.86735043        0.000000    -24.310841 
     0.87035164        0.000000    -11.413340 
     0.87335285        0.000000     -4.720448 
     0.87635407        0.000000     -1.901962 
     0.87935528        0.000000     -0.793448 
     0.88235649        0.000000      0.000000 
     0.88535771        0.000000      0.000000 
     0.88835892        0.000000      0.000000 
     0.89136013        0.000000      0.000000 
     0.89436134        0.000000      0.000000 
     0.89736256        0.000000      0.000000 
     0.90036377        0.000000      1.515360 
     0.90336498        0.000000      3.744340 
     0.90636619        0.000000      9.183343 
     0.90936741        0.000000     20.378446 
     0.91236862       68.693656     36.850091 
     0.91536983       68.693656     52.267701 
     0.91837104       68.693656     61.646175 
     0.92137226       68.693656     65.916440 
     0.92437347       68.693656     67.621962 
     0.92737468       68.693656     68.282000 
     0.93037589       68.693656     68.530073 
     0.93337711       68.693656     68.593728 
     0.93637832       68.693656     68.528226 
     0.93937953       68.693656     68.276678 
     0.94238074       68.693656     67.608146 
     0.94538196       68.693656     65.880897 
     0.94838317       68.693656     61.560236 
     0.95138438       68.693656     52.097241 
     0.95438559       68.693656     36.618480 
     0.95738681        0.000000     20.184974 
     0.96038802        0.000000      9.077212 
     0.96338923        0.000000      3.698754 
     0.96639044        0.000000      1.497414 
     0.96939166        0.000000      0.000000 
     0.97239287        0.000000      0.000000 
     0.97539408        0.000000      0.000000 
     0.97839529        0.000000      0.000000 
     0.98139651        0.000000      0.000000 
     0.98439772        0.000000      0.000000 
     0.98739893        0.000000      0.000000 
     0.99040014        0.000000     -1.179691 
     0.99340136        0.000000     -2.890472 
     0.99640257        0.000000     -7.156704 
     0.99940378        0.000000    -16.500019 
     1.00240499        0.000000    -31.798443 
     1.00540621      -67.952630    -48.063207 
     1.00840742      -67.952630    -59.069745 
     1.01140863      -67.952630    -64.400857 
     1.01440985      -67.952630    -66.578677 
     1.01741106      -67.952630    -67.424323 
     1.02041227      -67.952630    -67.747450 
     1.02341348      -67.952630    -67.849560 
     1.02641470      -67.952630    -67.820301 
     1.02941591      -67.952630    -67.634440 
     1.03241712      -67.952630    -67.124327 
     1.03541833      -67.952630    -65.803031 
     1.03841955      -67.952630    -62.446425 
     1.04142076      -67.952630    -54.716123 
     1.04442197      -67.952630    -40.797160 
     1.04742318        0.000000    -24.037976 
     1.05042440        0.000000    -11.319938 
     1.05342561        0.000000     -4.687476 
     1.05642682        0.000000     -1.888329 
     1.05942803        0.000000     -0.787077 
     1.06242925        0.000000      0.000000 
     1.06543046        0.000000      0.000000 
     1.06843167        0.000000      0.000000 
     1.07143288        0.000000      0.000000 
     1.07443410        0.000000      0.000000 
     1.07743531        0.000000      0.000000 
     1.08043652        0.000000      0.000000 
     1.08343773        0.000000      1.444569 
     1.08643895        0.000000      3.566758 
     1.08944016        0.000000      8.759577 
     1.09244137        0.000000     19.526358 
     1.09544258       67.211605     35.559433 
     1.09844380       67.211605     50.773933 
     1.10144501       67.211605     60.131171 
     1.10444622       67.211605     64.417721 
     1.10744743       67.211605     66.133257 
     1.11044865       67.211605     66.797359 
     1.11344986       67.211605     67.047562 
     1.11645107       67.211605     67.113805 
     1.11945228       67.211605     67.053654 
     1.12245350       67.211605     66.814919 
     1.12545471       67.211605     66.178843 
     1.12845592       67.211605     64.534992 
     1.13145713       67.211605     60.414710 
     1.13445835       67.211605     51.336312 
     1.13745956       67.211605     36.323534 
     1.14046077        0.000000     20.164649 
     1.14346199        0.000000      9.109734 
     1.14646320        0.000000      3.717164 
     1.14946441        0.000000      1.503779 
