z[m]        G0[T/m]       G1[T/m] 
     0.00000000        0.000000      0.000000 
     0.00300451        0.000000      0.000000 
     0.00600902        0.000000      0.000000 
     0.00901353        0.000000      0.000000 
     0.01201804        0.000000      0.000000 
     0.01502255        0.000000      0.000000 
     0.01802706        0.000000      0.000000 
     0.02103157        0.000000      0.000000 
     0.02403609        0.000000      0.000000 
     0.02704060        0.000000      0.000000 
     0.03004511        0.000000      0.000000 
     0.03304962        0.000000      0.000000 
     0.03605413        0.000000      0.000000 
     0.03905864        0.000000      0.000000 
     0.04206315        0.000000      0.000000 
     0.04506766        0.000000     -0.439337 
     0.04807217        0.000000     -0.646329 
     0.05107668        0.000000     -0.959639 
     0.05408119        0.000000     -1.433485 
     0.05708570        0.000000     -2.144371 
     0.06009021        0.000000     -3.192048 
     0.06309472        0.000000     -4.690004 
     0.06609923        0.000000     -6.737051 
     0.06910374        0.000000     -9.367451 
     0.07210826        0.000000    -12.496045 
     0.07511277      -30.850000    -15.897830 
     0.07811728      -30.850000    -19.257267 
     0.08112179      -30.850000    -22.273351 
     0.08412630      -30.850000    -24.755253 
     0.08713081      -30.850000    -26.652473 
     0.09013532      -30.850000    -28.021219 
     0.09313983      -30.850000    -28.967770 
     0.09614434      -30.850000    -29.603490 
     0.09914885      -30.850000    -30.021888 
     0.10215336      -30.850000    -30.292508 
     0.10515787      -30.850000    -30.463206 
     0.10816238      -30.850000    -30.564953 
     0.11116689      -30.850000    -30.616318 
     0.11417140      -30.850000    -30.626650 
     0.11717591      -30.850000    -30.597824 
     0.12018043      -30.850000    -30.524603 
     0.12318494      -30.850000    -30.393637 
     0.12618945      -30.850000    -30.181052 
     0.12919396      -30.850000    -29.848606 
     0.13219847      -30.850000    -29.338860 
     0.13520298      -30.850000    -28.571030 
     0.13820749      -30.850000    -27.441690 
     0.14121200      -30.850000    -25.837670 
     0.14421651      -30.850000    -23.669243 
     0.14722102      -30.850000    -20.923313 
     0.15022553      -30.850000    -17.714861 
     0.15323004        0.000000    -14.294590 
     0.15623455        0.000000    -10.984556 
     0.15923906        0.000000     -8.068821 
     0.16224357        0.000000     -5.708561 
     0.16524808        0.000000     -3.927445 
     0.16825260        0.000000     -2.653850 
     0.17125711        0.000000     -1.777115 
     0.17426162        0.000000     -1.187964 
     0.17726613        0.000000     -0.797147 
     0.18027064        0.000000     -0.539032 
     0.18327515        0.000000     -0.368254 
     0.18627966        0.000000      0.000000 
     0.18928417        0.000000      0.000000 
     0.19228868        0.000000      0.000000 
     0.19529319        0.000000      0.000000 
     0.19829770        0.000000      0.000000 
     0.20130221        0.000000      0.000000 
     0.20430672        0.000000      0.000000 
     0.20731123        0.000000      0.000000 
     0.21031574        0.000000      0.000000 
     0.21332026        0.000000      0.000000 
     0.21632477        0.000000      0.000000 
     0.21932928        0.000000      0.000000 
     0.22233379        0.000000      0.000000 
     0.22533830        0.000000      0.000000 
     0.22834281        0.000000      0.000000 
     0.23134732        0.000000      0.000000 
     0.23435183        0.000000      0.000000 
     0.23735634        0.000000      0.000000 
     0.24036085        0.000000      0.000000 
     0.24336536        0.000000      0.000000 
     0.24636987        0.000000      0.000000 
     0.24937438        0.000000      0.236041 
     0.25237889        0.000000      0.313319 
     0.25538340        0.000000      0.418570 
     0.25838791        0.000000      0.562342 
     0.26139243        0.000000      0.758933 
     0.26439694        0.000000      1.027347 
     0.26740145        0.000000      1.392090 
     0.27040596        0.000000      1.883373 
     0.27341047        0.000000      2.536023 
     0.27641498        0.000000      3.386154 
     0.27941949        0.000000      4.464798 
     0.28242400        0.000000      5.788483 
     0.28542851        0.000000      7.348545 
     0.28843302        0.000000      9.103127 
     0.29143753        0.000000     10.976828 
     0.29444204       22.670000     12.871001 
     0.29744655       22.670000     14.682706 
     0.30045106       22.670000     16.325349 
     0.30345557       22.670000     17.742991 
     0.30646008       22.670000     18.914118 
     0.30946460       22.670000     19.846105 
     0.31246911       22.670000     20.564987 
     0.31547362       22.670000     21.105152 
     0.31847813       22.670000     21.501605 
     0.32148264       22.670000     21.785399 
     0.32448715       22.670000     21.981637 
     0.32749166       22.670000     22.109067 
     0.33049617       22.670000     22.180456 
     0.33350068       22.670000     22.203147 
     0.33650519       22.670000     22.179502 
     0.33950970       22.670000     22.107059 
     0.34251421       22.670000     21.978370 
     0.34551872       22.670000     21.780554 
     0.34852323       22.670000     21.494732 
     0.35152774       22.670000     21.095673 
     0.35453225       22.670000     20.552215 
     0.35753677       22.670000     19.829312 
     0.36054128       22.670000     18.892657 
     0.36354579       22.670000     17.716486 
     0.36655030       22.670000     16.293921 
     0.36955481       22.670000     14.647148 
     0.37255932       22.670000     12.832806 
     0.37556383        0.000000     10.937999 
     0.37856834        0.000000      9.065796 
     0.38157285        0.000000      7.314536 
     0.38457736        0.000000      5.759003 
     0.38758187        0.000000      4.440339 
     0.39058638        0.000000      3.366595 
     0.39359089        0.000000      2.520838 
     0.39659540        0.000000      1.871850 
     0.39959991        0.000000      1.383487 
     0.40260442        0.000000      1.020995 
     0.40560894        0.000000      0.754273 
     0.40861345        0.000000      0.558933 
     0.41161796        0.000000      0.416077 
     0.41462247        0.000000      0.311492 
     0.41762698        0.000000      0.234696 
     0.42063149        0.000000      0.000000 
     0.42363600        0.000000      0.000000 
     0.42664051        0.000000      0.000000 
     0.42964502        0.000000      0.000000 
     0.43264953        0.000000      0.000000 
     0.43565404        0.000000      0.000000 
     0.43865855        0.000000      0.000000 
     0.44166306        0.000000      0.000000 
     0.44466757        0.000000      0.000000 
     0.44767208        0.000000      0.000000 
     0.45067660        0.000000      0.000000 
     0.45368111        0.000000      0.000000 
     0.45668562        0.000000      0.000000 
     0.45969013        0.000000      0.000000 
     0.46269464        0.000000      0.000000 
     0.46569915        0.000000      0.000000 
     0.46870366        0.000000      0.000000 
     0.47170817        0.000000      0.000000 
     0.47471268        0.000000      0.000000 
     0.47771719        0.000000      0.000000 
     0.48072170        0.000000      0.000000 
     0.48372621        0.000000      0.000000 
     0.48673072        0.000000      0.000000 
     0.48973523        0.000000      0.000000 
     0.49273974        0.000000      0.000000 
     0.49574425        0.000000      0.000000 
     0.49874877        0.000000      0.000000 
     0.50175328        0.000000      0.000000 
     0.50475779        0.000000      0.000000 
     0.50776230        0.000000      0.000000 
     0.51076681        0.000000      0.000000 
     0.51377132        0.000000      0.000000 
     0.51677583        0.000000      0.000000 
     0.51978034        0.000000      0.000000 
     0.52278485        0.000000      0.000000 
     0.52578936        0.000000      0.000000 
     0.52879387        0.000000      0.000000 
     0.53179838        0.000000      0.000000 
     0.53480289        0.000000      0.000000 
     0.53780740        0.000000      0.000000 
     0.54081191        0.000000      0.000000 
     0.54381642        0.000000      0.000000 
     0.54682094        0.000000      0.000000 
     0.54982545        0.000000      0.000000 
     0.55282996        0.000000      0.000000 
     0.55583447        0.000000      0.000000 
     0.55883898        0.000000      0.000000 
     0.56184349        0.000000      0.000000 
     0.56484800        0.000000      0.000000 
     0.56785251        0.000000      0.000000 
     0.57085702        0.000000      0.000000 
     0.57386153        0.000000      0.000000 
     0.57686604        0.000000      0.000000 
     0.57987055        0.000000      0.000000 
     0.58287506        0.000000      0.000000 
     0.58587957        0.000000      0.000000 
     0.58888408        0.000000     -0.143928 
     0.59188859        0.000000     -0.190829 
     0.59489311        0.000000     -0.254665 
     0.59789762        0.000000     -0.341831 
     0.60090213        0.000000     -0.461018 
     0.60390664        0.000000     -0.623826 
     0.60691115        0.000000     -0.845301 
     0.60991566        0.000000     -1.144161 
     0.61292017        0.000000     -1.542281 
     0.61592468        0.000000     -2.062848 
     0.61892919        0.000000     -2.726649 
     0.62193370        0.000000     -3.546329 
     0.62493821        0.000000     -4.519557 
     0.62794272        0.000000     -5.623383 
     0.63094723        0.000000     -6.812978 
     0.63395174      -14.500000     -8.027042 
     0.63695625      -14.500000     -9.199228 
     0.63996077      -14.500000    -10.271542 
     0.64296528      -14.500000    -11.204484 
     0.64596979      -14.500000    -11.980643 
     0.64897430      -14.500000    -12.601995 
     0.65197881      -14.500000    -13.083646 
     0.65498332      -14.500000    -13.447084 
     0.65798783      -14.500000    -13.714892 
     0.66099234      -14.500000    -13.907493 
     0.66399685      -14.500000    -14.041633 
     0.66700136      -14.500000    -14.129992 
     0.67000587      -14.500000    -14.181364 
     0.67301038      -14.500000    -14.201016 
     0.67601489      -14.500000    -14.190992 
     0.67901940      -14.500000    -14.150246 
     0.68202391      -14.500000    -14.074577 
     0.68502842      -14.500000    -13.956366 
     0.68803294      -14.500000    -13.784217 
     0.69103745      -14.500000    -13.542690 
     0.69404196      -14.500000    -13.212446 
     0.69704647      -14.500000    -12.771337 
     0.70005098      -14.500000    -12.197042 
     0.70305549      -14.500000    -11.471709 
     0.70606000      -14.500000    -10.588374 
     0.70906451      -14.500000     -9.557673 
     0.71206902      -14.500000     -8.412048 
     0.71507353        0.000000     -7.204366 
     0.71807804        0.000000     -5.999689 
     0.72108255        0.000000     -4.862391 
     0.72408706        0.000000     -3.843531 
     0.72709157        0.000000     -2.973260 
     0.73009608        0.000000     -2.260076 
     0.73310059        0.000000     -1.695407 
     0.73610511        0.000000     -1.260379 
     0.73910962        0.000000     -0.932067 
     0.74211413        0.000000     -0.687895 
     0.74511864        0.000000     -0.508020 
     0.74812315        0.000000     -0.376212 
     0.75112766        0.000000     -0.279814 
     0.75413217        0.000000     -0.209264 
     0.75713668        0.000000     -0.157492 
     0.76014119        0.000000      0.000000 
     0.76314570        0.000000      0.000000 
     0.76615021        0.000000      0.000000 
     0.76915472        0.000000      0.000000 
     0.77215923        0.000000      0.000000 
     0.77516374        0.000000      0.000000 
     0.77816825        0.000000      0.000000 
     0.78117276        0.000000      0.000000 
     0.78417728        0.000000      0.000000 
     0.78718179        0.000000      0.000000 
     0.79018630        0.000000      0.000000 
     0.79319081        0.000000      0.000000 
     0.79619532        0.000000      0.000000 
     0.79919983        0.000000      0.000000 
     0.80220434        0.000000      0.000000 
     0.80520885        0.000000      0.000000 
     0.80821336        0.000000      0.000000 
     0.81121787        0.000000      0.000000 
     0.81422238        0.000000      0.000000 
     0.81722689        0.000000      0.000000 
     0.82023140        0.000000      0.000000 
     0.82323591        0.000000      0.000000 
     0.82624042        0.000000      0.000000 
     0.82924493        0.000000      0.000000 
     0.83224945        0.000000      0.000000 
     0.83525396        0.000000      0.000000 
     0.83825847        0.000000      0.000000 
     0.84126298        0.000000      0.000000 
     0.84426749        0.000000      0.000000 
     0.84727200        0.000000      0.000000 
     0.85027651        0.000000      0.000000 
     0.85328102        0.000000      0.000000 
     0.85628553        0.000000      0.000000 
     0.85929004        0.000000      0.000000 
     0.86229455        0.000000      0.000000 
     0.86529906        0.000000      0.000000 
     0.86830357        0.000000      0.000000 
     0.87130808        0.000000      0.000000 
     0.87431259        0.000000      0.000000 
     0.87731711        0.000000      0.000000 
     0.88032162        0.000000      0.000000 
     0.88332613        0.000000      0.000000 
