z[m]        G0[T/m]       G1[T/m] 
     0.00000000        0.000000      0.000000 
     0.00300016        0.000000      0.000000 
     0.00600032        0.000000      0.000000 
     0.00900048        0.000000      0.000000 
     0.01200064        0.000000      0.000000 
     0.01500080        0.000000      0.000000 
     0.01800096        0.000000      0.000000 
     0.02100111        0.000000      0.000000 
     0.02400127        0.000000      0.000000 
     0.02700143        0.000000      0.000000 
     0.03000159        0.000000      0.000000 
     0.03300175        0.000000      0.000000 
     0.03600191        0.000000      0.000000 
     0.03900207        0.000000      0.000000 
     0.04200223        0.000000      0.000000 
     0.04500239        0.000000      0.000000 
     0.04800255        0.000000      0.000000 
     0.05100271        0.000000      0.000000 
     0.05400287        0.000000      0.000000 
     0.05700302        0.000000      0.000000 
     0.06000318        0.000000      0.000000 
     0.06300334        0.000000      0.000000 
     0.06600350        0.000000      0.000000 
     0.06900366        0.000000      0.000000 
     0.07200382        0.000000      0.000000 
     0.07500398        0.000000      0.000000 
     0.07800414        0.000000      0.000000 
     0.08100430        0.000000      0.000000 
     0.08400446        0.000000      0.000000 
     0.08700462        0.000000      0.000000 
     0.09000478        0.000000      0.000000 
     0.09300493        0.000000      0.000000 
     0.09600509        0.000000      0.000000 
     0.09900525        0.000000      0.000000 
     0.10200541        0.000000      0.000000 
     0.10500557        0.000000      0.000000 
     0.10800573        0.000000      0.000000 
     0.11100589        0.000000      0.000000 
     0.11400605        0.000000      0.000000 
     0.11700621        0.000000      0.000000 
     0.12000637        0.000000      0.000000 
     0.12300653        0.000000      0.000000 
     0.12600669        0.000000      0.000000 
     0.12900685        0.000000      0.000000 
     0.13200700        0.000000      0.000000 
     0.13500716        0.000000      0.000000 
     0.13800732        0.000000      0.000000 
     0.14100748        0.000000      0.000000 
     0.14400764        0.000000      0.000000 
     0.14700780        0.000000      0.000000 
     0.15000796        0.000000      0.000000 
     0.15300812        0.000000      0.000000 
     0.15600828        0.000000      0.000000 
     0.15900844        0.000000      0.000000 
     0.16200860        0.000000      0.000000 
     0.16500876        0.000000      0.000000 
     0.16800891        0.000000      0.000000 
     0.17100907        0.000000      0.000000 
     0.17400923        0.000000      0.000000 
     0.17700939        0.000000      0.000000 
     0.18000955        0.000000      0.000000 
     0.18300971        0.000000      0.000000 
     0.18600987        0.000000      0.000000 
     0.18901003        0.000000      0.000000 
     0.19201019        0.000000      0.000000 
     0.19501035        0.000000      0.000000 
     0.19801051        0.000000      0.000000 
     0.20101067        0.000000      0.000000 
     0.20401082        0.000000      0.000000 
     0.20701098        0.000000      0.000000 
     0.21001114        0.000000      0.000000 
     0.21301130        0.000000      0.000000 
     0.21601146        0.000000      0.000000 
     0.21901162        0.000000      0.000000 
     0.22201178        0.000000      0.000000 
     0.22501194        0.000000      0.000000 
     0.22801210        0.000000      0.000000 
     0.23101226        0.000000      0.000000 
     0.23401242        0.000000      0.000000 
     0.23701258        0.000000      0.000000 
     0.24001273        0.000000      0.000000 
     0.24301289        0.000000      0.000000 
     0.24601305        0.000000      0.000000 
     0.24901321        0.000000      0.000000 
     0.25201337        0.000000      0.000000 
     0.25501353        0.000000      0.000000 
     0.25801369        0.000000      0.000000 
     0.26101385        0.000000      0.000000 
     0.26401401        0.000000      0.000000 
     0.26701417        0.000000      0.000000 
     0.27001433        0.000000      0.000000 
     0.27301449        0.000000      0.000000 
     0.27601465        0.000000      0.000000 
     0.27901480        0.000000      0.000000 
     0.28201496        0.000000      0.000000 
     0.28501512        0.000000      0.000000 
     0.28801528        0.000000      0.000000 
     0.29101544        0.000000      0.000000 
     0.29401560        0.000000      0.000000 
     0.29701576        0.000000      0.000000 
     0.30001592        0.000000      0.000000 
     0.30301608        0.000000      0.000000 
     0.30601624        0.000000      0.000000 
     0.30901640        0.000000      0.000000 
     0.31201656        0.000000      0.000000 
     0.31501671        0.000000      0.000000 
     0.31801687        0.000000      0.000000 
     0.32101703        0.000000      0.000000 
     0.32401719        0.000000      0.000000 
     0.32701735        0.000000      0.000000 
     0.33001751        0.000000      0.000000 
     0.33301767        0.000000      0.000000 
     0.33601783        0.000000      0.000000 
     0.33901799        0.000000      0.000000 
     0.34201815        0.000000      0.000000 
     0.34501831        0.000000      0.000000 
     0.34801847        0.000000      0.000000 
     0.35101862        0.000000      0.000000 
     0.35401878        0.000000      0.000000 
     0.35701894        0.000000      0.000000 
     0.36001910        0.000000      0.000000 
     0.36301926        0.000000      0.000000 
     0.36601942        0.000000      0.000000 
     0.36901958        0.000000      0.000000 
     0.37201974        0.000000      0.000000 
     0.37501990        0.000000      0.000000 
     0.37802006        0.000000      0.000000 
     0.38102022        0.000000      0.000000 
     0.38402038        0.000000      0.000000 
     0.38702054        0.000000      0.000000 
     0.39002069        0.000000      0.000000 
     0.39302085        0.000000      0.000000 
     0.39602101        0.000000      0.000000 
     0.39902117        0.000000      0.000000 
     0.40202133        0.000000      0.000000 
     0.40502149        0.000000      0.000000 
     0.40802165        0.000000      0.000000 
     0.41102181        0.000000      0.000000 
     0.41402197        0.000000      0.000000 
     0.41702213        0.000000      0.000000 
     0.42002229        0.000000      0.000000 
     0.42302245        0.000000      0.000000 
     0.42602260        0.000000      0.000000 
     0.42902276        0.000000      0.000000 
     0.43202292        0.000000      0.000000 
     0.43502308        0.000000      0.000000 
     0.43802324        0.000000      0.000000 
     0.44102340        0.000000      0.000000 
     0.44402356        0.000000      0.000000 
     0.44702372        0.000000      0.000000 
     0.45002388        0.000000      0.000000 
     0.45302404        0.000000      0.000000 
     0.45602420        0.000000      0.000000 
     0.45902436        0.000000      0.000000 
     0.46202451        0.000000      0.000000 
     0.46502467        0.000000      0.000000 
     0.46802483        0.000000      0.000000 
     0.47102499        0.000000      0.000000 
     0.47402515        0.000000      0.000000 
     0.47702531        0.000000      0.000000 
     0.48002547        0.000000      0.000000 
     0.48302563        0.000000      0.000000 
     0.48602579        0.000000      0.000000 
     0.48902595        0.000000      0.000000 
     0.49202611        0.000000      0.000000 
     0.49502627        0.000000      0.000000 
     0.49802643        0.000000      0.000000 
     0.50102658        0.000000      0.000000 
     0.50402674        0.000000      0.000000 
     0.50702690        0.000000      0.000000 
     0.51002706        0.000000      0.000000 
     0.51302722        0.000000      0.000000 
     0.51602738        0.000000      0.000000 
     0.51902754        0.000000      0.000000 
     0.52202770        0.000000      0.000000 
     0.52502786        0.000000      0.000000 
     0.52802802        0.000000      0.000000 
     0.53102818        0.000000      0.000000 
     0.53402834        0.000000      0.000000 
     0.53702849        0.000000      0.000000 
     0.54002865        0.000000      0.000000 
     0.54302881        0.000000      0.000000 
     0.54602897        0.000000      0.000000 
     0.54902913        0.000000      0.000000 
     0.55202929        0.000000      0.000000 
     0.55502945        0.000000      0.000000 
     0.55802961        0.000000      0.000000 
     0.56102977        0.000000      0.000000 
     0.56402993        0.000000      0.000000 
     0.56703009        0.000000      0.000000 
     0.57003025        0.000000      0.000000 
     0.57303040        0.000000      0.000000 
     0.57603056        0.000000      0.000000 
     0.57903072        0.000000      0.000000 
     0.58203088        0.000000      0.000000 
     0.58503104        0.000000      0.000000 
     0.58803120        0.000000      0.000000 
     0.59103136        0.000000      0.000000 
     0.59403152        0.000000      0.000000 
     0.59703168        0.000000      0.000000 
     0.60003184        0.000000      0.000000 
     0.60303200        0.000000      0.000000 
     0.60603216        0.000000      0.000000 
     0.60903232        0.000000      0.000000 
     0.61203247        0.000000      0.000000 
     0.61503263        0.000000      0.000000 
     0.61803279        0.000000      0.000000 
     0.62103295        0.000000      0.000000 
     0.62403311        0.000000      0.000000 
     0.62703327        0.000000      0.000000 
     0.63003343        0.000000      0.000000 
     0.63303359        0.000000      0.000000 
     0.63603375        0.000000      0.000000 
     0.63903391        0.000000      0.000000 
     0.64203407        0.000000      0.000000 
     0.64503423        0.000000      0.000000 
     0.64803438        0.000000      0.000000 
     0.65103454        0.000000      0.000000 
     0.65403470        0.000000      0.000000 
     0.65703486        0.000000      0.000000 
     0.66003502        0.000000      0.000000 
     0.66303518        0.000000      0.000000 
     0.66603534        0.000000      0.000000 
     0.66903550        0.000000      0.000000 
     0.67203566        0.000000      0.000000 
     0.67503582        0.000000      0.000000 
     0.67803598        0.000000      0.000000 
     0.68103614        0.000000      0.000000 
     0.68403629        0.000000      0.000000 
     0.68703645        0.000000      0.000000 
     0.69003661        0.000000      0.000000 
     0.69303677        0.000000      0.000000 
     0.69603693        0.000000      0.000000 
     0.69903709        0.000000      0.000000 
     0.70203725        0.000000      0.000000 
     0.70503741        0.000000      0.000000 
     0.70803757        0.000000      0.000000 
     0.71103773        0.000000      0.000000 
     0.71403789        0.000000      0.000000 
     0.71703805        0.000000      0.000000 
     0.72003820        0.000000      0.000000 
     0.72303836        0.000000      0.000000 
     0.72603852        0.000000      0.000000 
     0.72903868        0.000000      0.000000 
     0.73203884        0.000000      0.000000 
     0.73503900        0.000000      0.000000 
     0.73803916        0.000000      0.000000 
     0.74103932        0.000000      0.000000 
     0.74403948        0.000000      0.000000 
     0.74703964        0.000000      0.000000 
     0.75003980        0.000000      0.000000 
     0.75303996        0.000000      0.000000 
     0.75604012        0.000000      0.000000 
     0.75904027        0.000000      0.000000 
     0.76204043        0.000000      0.000000 
     0.76504059        0.000000      0.000000 
     0.76804075        0.000000      0.000000 
     0.77104091        0.000000      0.000000 
     0.77404107        0.000000      0.000000 
     0.77704123        0.000000      0.000000 
     0.78004139        0.000000      0.000000 
     0.78304155        0.000000      0.000000 
     0.78604171        0.000000      0.000000 
     0.78904187        0.000000      0.000000 
     0.79204203        0.000000      0.000000 
     0.79504218        0.000000      0.000000 
     0.79804234        0.000000      0.000000 
     0.80104250        0.000000      0.000000 
     0.80404266        0.000000      0.000000 
     0.80704282        0.000000      0.000000 
     0.81004298        0.000000      0.000000 
     0.81304314        0.000000      0.000000 
     0.81604330        0.000000      0.000000 
     0.81904346        0.000000      0.000000 
     0.82204362        0.000000      0.000000 
     0.82504378        0.000000      0.000000 
     0.82804394        0.000000      0.000000 
     0.83104409        0.000000      0.000000 
     0.83404425        0.000000      0.000000 
     0.83704441        0.000000      0.000000 
     0.84004457        0.000000      0.000000 
     0.84304473        0.000000      0.000000 
     0.84604489        0.000000      0.000000 
     0.84904505        0.000000      0.000000 
     0.85204521        0.000000      0.000000 
     0.85504537        0.000000      0.000000 
     0.85804553        0.000000      0.000000 
     0.86104569        0.000000      0.000000 
     0.86404585        0.000000      0.000000 
     0.86704601        0.000000      0.000000 
     0.87004616        0.000000      0.000000 
     0.87304632        0.000000      0.000000 
     0.87604648        0.000000      0.000000 
     0.87904664        0.000000      0.000000 
     0.88204680        0.000000      0.000000 
     0.88504696        0.000000      0.000000 
     0.88804712        0.000000      0.000000 
     0.89104728        0.000000      0.000000 
     0.89404744        0.000000      0.000000 
     0.89704760        0.000000      0.000000 
     0.90004776        0.000000      0.000000 
     0.90304792        0.000000      0.000000 
     0.90604807        0.000000      0.000000 
     0.90904823        0.000000      0.000000 
     0.91204839        0.000000      0.000000 
     0.91504855        0.000000      0.000000 
     0.91804871        0.000000      0.000000 
     0.92104887        0.000000      0.000000 
     0.92404903        0.000000      0.000000 
     0.92704919        0.000000      0.000000 
     0.93004935        0.000000      0.000000 
     0.93304951        0.000000      0.000000 
     0.93604967        0.000000      0.000000 
     0.93904983        0.000000      0.000000 
     0.94204998        0.000000      0.000000 
