tank	beta_g
ACS01A	5.583467E-01
ACS01B	5.630739E-01
ACS02A, ACS02B	5.700576E-01
ACS03A, ACS03B	5.791748E-01
ACS04A, ACS04B	5.880715E-01
ACS05A, ACS05B	5.967543E-01
ACS06A, ACS06B	6.052295E-01
ACS07A, ACS07B	6.135037E-01
ACS08A, ACS08B	6.215704E-01
ACS09A, ACS09B	6.294426E-01
ACS10A, ACS10B	6.371202E-01
ACS11A	6.427552E-01
ACS11B	6.464514E-01
ACS12A, ACS12B	6.519113E-01
ACS13A, ACS13B	6.590248E-01
ACS14A, ACS14B	6.659697E-01
ACS15A, ACS15B	6.727395E-01
ACS16A, ACS16B	6.793407E-01
ACS17A, ACS17B	6.857733E-01
ACS18A, ACS18B	6.920438E-01
ACS19A, ACS19B	6.981652E-01
ACS20A, ACS20B	7.041309E-01
ACS21A	7.085079E-01
ACS21B	7.113740E-01
