 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_MEBT1:BNCH01:Rg01      3.000000    3.000000     0.07973270
LI_MEBT1:CHOP01:Rg01      3.000000    3.000000     0.07973270
LI_MEBT1:BNCH02:Rg01      3.000000    3.000000     0.07973270
LI_DTL1:RG01      3.000000    3.121240     0.08053035
LI_DTL1:RG02      3.121240    3.244951     0.08211782
LI_DTL1:RG03      3.244951    3.371010     0.08370491
LI_DTL1:RG04      3.371010    3.499481     0.08529123
LI_DTL1:RG05      3.499481    3.630408     0.08687745
LI_DTL1:RG06      3.630408    3.760821     0.08844615
LI_DTL1:RG07      3.760821    3.897313     0.09001939
LI_DTL1:RG08      3.897313    4.036753     0.09161675
LI_DTL1:RG09      4.036753    4.179482     0.09322120
LI_DTL1:RG10      4.179482    4.325468     0.09483406
LI_DTL1:RG11      4.325468    4.474585     0.09645399
LI_DTL1:RG12      4.474585    4.626875     0.09808015
LI_DTL1:RG13      4.626875    4.782411     0.09971279
LI_DTL1:RG14      4.782411    4.941190     0.10135191
LI_DTL1:RG15      4.941190    5.103185     0.10299699
LI_DTL1:RG16      5.103185    5.268219     0.10464670
LI_DTL1:RG17      5.268219    5.436213     0.10629949
LI_DTL1:RG18      5.436213    5.606894     0.10795349
LI_DTL1:RG19      5.606894    5.780080     0.10960642
LI_DTL1:RG20      5.780080    5.955817     0.11125766
LI_DTL1:RG21      5.955817    6.133836     0.11290620
LI_DTL1:RG22      6.133836    6.314233     0.11455135
LI_DTL1:RG23      6.314233    6.469792     0.11607140
LI_DTL1:RG24      6.469792    6.655670     0.11759530
LI_DTL1:RG25      6.655670    6.845107     0.11924702
LI_DTL1:RG26      6.845107    7.037886     0.12090492
LI_DTL1:RG27      7.037886    7.233806     0.12256694
LI_DTL1:RG28      7.233806    7.432613     0.12423096
LI_DTL1:RG29      7.432613    7.634237     0.12589550
LI_DTL1:RG30      7.634237    7.838434     0.12755925
LI_DTL1:RG31      7.838434    8.045036     0.12922051
LI_DTL1:RG32      8.045036    8.253891     0.13087809
LI_DTL1:RG33      8.253891    8.464826     0.13253081
LI_DTL1:RG34      8.464826    8.677933     0.13417852
LI_DTL1:RG35      8.677933    8.892991     0.13582086
LI_DTL1:RG36      8.892991    9.109634     0.13745580
