beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.300000        22.63513         0.770001      0.7699994      -0.01869102    -0.01867004    -1.247212e-18  -1.411431e-17     1.531986e-16   1.690116e-17   
1  0.298788        22.72695        0.7682847      0.7682834      -0.01871597    -0.01871959     1.282041e-17  -1.254378e-17    -4.993402e-17   1.494722e-17   
2  0.297576        22.81953        0.7665498      0.7665488      -0.01876594    -0.01876927    -1.060701e-17  -1.105739e-17    -1.234086e-16   1.309471e-17   
3  0.296364        22.91286         0.764796      0.7647953      -0.01881603    -0.01881907    -1.002375e-17  -9.654415e-18     4.986775e-17   1.134247e-17   
4  0.295152        23.00696        0.7630231      0.7630226      -0.01886622    -0.01886899    -1.226896e-18  -8.334037e-18     -1.10591e-16   9.689296e-18   
5  0.293939        23.10183        0.7612308      0.7612305      -0.01891652    -0.01891903    -3.108073e-17  -7.095401e-18     1.066803e-16   8.133898e-18   
6  0.292727        23.19749        0.7594188      0.7594188      -0.01896692    -0.01896919     1.943035e-17  -5.937596e-18     2.010556e-18   6.674926e-18   
7  0.291515        23.29394        0.7575869       0.757587      -0.01901743    -0.01901946    -3.111292e-17  -4.859654e-18    -1.167317e-16   5.310955e-18   
8  0.290303        23.39121        0.7557348      0.7557351      -0.01906803    -0.01906984    -2.854399e-18  -3.860549e-18     2.180224e-16   4.040491e-18   
9  0.289091        23.48928        0.7538622      0.7538626      -0.01911873    -0.01912032     1.141579e-17  -2.939197e-18     5.858739e-17   2.861963e-18   
10  0.287879        23.58818        0.7519688      0.7519693      -0.01916952     -0.0191709     8.614278e-18  -2.094454e-18     6.966982e-17   1.773729e-18   
11  0.286667        23.68792        0.7500544       0.750055      -0.01922039    -0.01922158     2.533703e-17  -1.325114e-18     -7.77699e-17   7.740685e-19   
12  0.285455        23.78851        0.7481185      0.7481192      -0.01927135    -0.01927236    -7.172814e-18  -6.299084e-19    -1.820116e-16  -1.388151e-19   
13  0.284242        23.88995         0.746161      0.7461617      -0.01932238    -0.01932322     -1.13135e-17  -7.506439e-21    -7.519333e-17  -9.667966e-19   
14  0.283030        23.99226        0.7441814      0.7441822      -0.01937349    -0.01937416    -2.252377e-17   5.434893e-19    -5.252475e-17   -1.71183e-18   
15  0.281818        24.09546        0.7421796      0.7421804      -0.01942466    -0.01942519    -2.205739e-17   1.024542e-18     2.494552e-16  -2.375949e-18   
16  0.280606        24.19954        0.7401551      0.7401559       -0.0194759    -0.01947629      2.94008e-17   1.437182e-18      7.96136e-17  -2.961268e-18   
17  0.279394        24.30453        0.7381077      0.7381085       -0.0195272    -0.01952745    -5.787068e-18   1.783009e-18    -2.164778e-16  -3.469985e-18   
18  0.278182        24.41043         0.736037      0.7360378      -0.01957856    -0.01957869    -1.614345e-17    2.06369e-18     1.619945e-17  -3.904379e-18   
19  0.276970        24.51726        0.7339427      0.7339435      -0.01962996    -0.01962998     -2.23528e-18   2.280965e-18    -5.734814e-17  -4.266811e-18   
20  0.275758        24.62503        0.7318245      0.7318252      -0.01968141    -0.01968132    -2.862633e-17   2.436645e-18    -6.065501e-19  -4.559726e-18   
