beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.9389734      0.9389717      -0.01146419    -0.01143428     6.003456e-18   5.295335e-18     1.176707e-16   1.010418e-17   
1  0.646162        10.50904         0.938262      0.9382605      -0.01149535    -0.01149641     1.330587e-17    5.08778e-18    -1.279688e-16   8.977408e-18   
2  0.642323        10.57184        0.9375381      0.9375369      -0.01155799    -0.01155917    -1.015663e-17   4.885622e-18    -2.025916e-16   7.891721e-18   
3  0.638485        10.63539        0.9368016      0.9368005      -0.01162127    -0.01162256    -1.216337e-17   4.688897e-18      1.21545e-16   6.847487e-18   
4  0.634646        10.69972         0.936052      0.9360512      -0.01168521     -0.0116866     5.504064e-18   4.497637e-18     3.118442e-17    5.84505e-18   
5  0.630808        10.76482        0.9352891      0.9352885      -0.01174981    -0.01175129    -8.317772e-18   4.311871e-18     4.915266e-17   4.884731e-18   
6  0.626970        10.83073        0.9345126      0.9345122      -0.01181509    -0.01181665     1.215197e-17   4.131624e-18     5.150094e-17    3.96683e-18   
7  0.623131        10.89744        0.9337222       0.933722      -0.01188105    -0.01188268    -1.698136e-18   3.956918e-18    -7.653249e-17   3.091625e-18   
8  0.619293        10.96499        0.9329175      0.9329174       -0.0119477     -0.0119494     1.985272e-18   3.787767e-18    -1.481448e-16   2.259364e-18   
9  0.615455        11.03337        0.9320982      0.9320982      -0.01201506    -0.01201681    -2.200582e-17   3.624184e-18     1.005862e-17   1.470269e-18   
10  0.611616        11.10261        0.9312638       0.931264      -0.01208313    -0.01208493     3.679383e-18   3.466175e-18     2.530715e-16    7.24533e-19   
11  0.607778        11.17273        0.9304142      0.9304145      -0.01215192    -0.01215376     1.315943e-17    3.31374e-18     1.973555e-16   2.231448e-20   
12  0.603939        11.24374        0.9295488      0.9295493      -0.01222145    -0.01222331     3.158697e-17   3.166875e-18    -1.578741e-17  -6.362607e-19   
13  0.600101        11.31566        0.9286674      0.9286679      -0.01229172    -0.01229361     1.065291e-17   3.025567e-18     -1.32025e-16  -1.251104e-18   
14  0.596263         11.3885        0.9277695      0.9277701      -0.01236275    -0.01236464     1.262218e-17     2.8898e-18    -1.355574e-16  -1.822165e-18   
15  0.592424        11.46229        0.9268546      0.9268553      -0.01243454    -0.01243644    -9.377458e-18   2.759547e-18     3.350321e-17  -2.349436e-18   
16  0.588586        11.53704        0.9259224      0.9259232      -0.01250711      -0.012509     1.791783e-17   2.634776e-18     1.315697e-16  -2.832953e-18   
17  0.584747        11.61277        0.9249725      0.9249733      -0.01258047    -0.01258235     1.019204e-17   2.515446e-18    -1.750507e-16    -3.2728e-18   
18  0.580909         11.6895        0.9240043      0.9240052      -0.01265462    -0.01265648    -8.844023e-18    2.40151e-18     6.646952e-17  -3.669109e-18   
19  0.577071        11.76725        0.9230175      0.9230184      -0.01272959    -0.01273142     2.078164e-17   2.292908e-18     1.495411e-16  -4.022067e-18   
20  0.573232        11.84605        0.9220115      0.9220124      -0.01280539    -0.01280717      1.43251e-17   2.189575e-18    -1.643898e-16  -4.331916e-18   
21  0.569394         11.9259        0.9209859      0.9209868      -0.01288201    -0.01288375     -5.38643e-18   2.091432e-18     3.350539e-17  -4.598956e-18   
22  0.565556        12.00684        0.9199401       0.919941      -0.01295949    -0.01296117     2.001652e-17   1.998393e-18      1.80819e-17  -4.823553e-18   
23  0.561717        12.08889        0.9188736      0.9188745      -0.01303782    -0.01303945    -2.766492e-18   1.910358e-18    -2.753128e-17  -5.006136e-18   
24  0.557879        12.17207        0.9177859      0.9177868      -0.01311702    -0.01311858     1.575018e-17   1.827218e-18     9.738594e-17  -5.147206e-18   
25  0.554040        12.25639        0.9166764      0.9166773      -0.01319711     -0.0131986     1.340165e-17    1.74885e-18    -2.292831e-17  -5.247338e-18   
26  0.550202         12.3419        0.9155446      0.9155454       -0.0132781     -0.0132795       1.1862e-17   1.675118e-18     1.780697e-17  -5.307182e-18   
27  0.546364        12.42861        0.9143898      0.9143905         -0.01336    -0.01336131     1.651122e-17   1.605875e-18    -3.424654e-16  -5.327473e-18   
28  0.542525        12.51654        0.9132114      0.9132121      -0.01344282    -0.01344403    -4.843165e-17   1.540957e-18     -1.31913e-16  -5.309028e-18   
29  0.538687        12.60572        0.9120087      0.9120094      -0.01352657    -0.01352768    -6.092859e-18   1.480185e-18      2.23979e-16  -5.252758e-18   
30  0.534848        12.69619        0.9107812      0.9107818      -0.01361128    -0.01361228    -8.514369e-18   1.423367e-18    -9.185839e-18  -5.159665e-18   
31  0.531010        12.78796        0.9095282      0.9095287      -0.01369695    -0.01369784    -7.743891e-18   1.370293e-18    -2.094919e-17  -5.030853e-18   
