beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.9113832       0.911379      -0.01651542    -0.01647566     3.829733e-17  -5.701418e-18    -1.298602e-15  -1.599024e-16   
1  0.646162        10.50904        0.9103583      0.9103547      -0.01655874    -0.01656183    -4.229137e-17  -5.354919e-18    -3.306992e-16  -1.508985e-16   
2  0.642323        10.57184        0.9093157      0.9093127       -0.0166458    -0.01664884    -2.275148e-18  -5.021891e-18     1.066915e-16  -1.420793e-16   
3  0.638485        10.63539         0.908255      0.9082525      -0.01673369    -0.01673667    -2.921099e-17  -4.702441e-18     1.107697e-16   -1.33448e-16   
4  0.634646        10.69972        0.9071758      0.9071738      -0.01682243    -0.01682535     1.230088e-17  -4.396668e-18     9.983046e-17  -1.250078e-16   
5  0.630808        10.76482        0.9060776      0.9060762      -0.01691202    -0.01691489    -1.671698e-17  -4.104661e-18    -1.641331e-16  -1.167618e-16   
6  0.626970        10.83073        0.9049601      0.9049591      -0.01700249    -0.01700529    -8.977727e-18  -3.826505e-18     3.959071e-16  -1.087132e-16   
7  0.623131        10.89744        0.9038228      0.9038222      -0.01709384    -0.01709656     3.601393e-17  -3.562272e-18    -4.825113e-17  -1.008652e-16   
8  0.619293        10.96499        0.9026651      0.9026649      -0.01718607    -0.01718873    -1.605344e-17  -3.312028e-18    -3.880845e-16  -9.322069e-17   
9  0.615455        11.03337        0.9014867      0.9014868       -0.0172792    -0.01728179    -1.641489e-17  -3.075828e-18     1.406231e-17  -8.578287e-17   
10  0.611616        11.10261        0.9002869      0.9002874      -0.01737325    -0.01737576    -1.410147e-17  -2.853714e-18     8.127249e-17   -7.85547e-17   
11  0.607778        11.17273        0.8990655      0.8990662      -0.01746822    -0.01747064    -5.046805e-18   -2.64572e-18     1.422821e-16  -7.153912e-17   
12  0.603939        11.24374        0.8978217      0.8978227      -0.01756412    -0.01756646     5.990101e-18  -2.451865e-18     2.760037e-16  -6.473903e-17   
13  0.600101        11.31566         0.896555      0.8965563      -0.01766097    -0.01766322     3.451102e-17  -2.272156e-18    -4.907413e-17  -5.815726e-17   
14  0.596263         11.3885         0.895265      0.8952665      -0.01775877    -0.01776094     -1.52656e-18  -2.106586e-18    -2.255581e-16  -5.179655e-17   
15  0.592424        11.46229         0.893951      0.8939527      -0.01785754    -0.01785962     1.691325e-18  -1.955134e-18      3.66308e-17  -4.565959e-17   
16  0.588586        11.53704        0.8926124      0.8926143      -0.01795729    -0.01795927     3.907758e-18  -1.817761e-18    -3.678785e-17  -3.974896e-17   
17  0.584747        11.61277        0.8912487      0.8912507      -0.01805803    -0.01805991    -3.909743e-18  -1.694413e-18    -7.635082e-17  -3.406713e-17   
18  0.580909         11.6895        0.8898592      0.8898613      -0.01815977    -0.01816156    -7.706022e-18  -1.585018e-18     2.497786e-16  -2.861649e-17   
19  0.577071        11.76725        0.8884433      0.8884454      -0.01826252    -0.01826421     3.498267e-17  -1.489485e-18     6.426971e-17  -2.339928e-17   
20  0.573232        11.84605        0.8870002      0.8870024       -0.0183663    -0.01836788     1.850417e-18  -1.407704e-18    -5.234181e-16  -1.841762e-17   
21  0.569394         11.9259        0.8855294      0.8855316      -0.01847111    -0.01847259    -4.816707e-17  -1.339543e-18    -2.258146e-16   -1.36735e-17   
22  0.565556        12.00684        0.8840301      0.8840323      -0.01857697    -0.01857835    -3.402563e-17  -1.284848e-18     2.468162e-16  -9.168745e-18   
23  0.561717        12.08889        0.8825015      0.8825037       -0.0186839    -0.01868516    -7.859575e-18  -1.243442e-18     3.326902e-16  -4.905001e-18   
24  0.557879        12.17207         0.880943      0.8809451      -0.01879189    -0.01879305      2.09576e-17  -1.215123e-18     1.506134e-16  -8.837444e-19   
25  0.554040        12.25639        0.8793538      0.8793558      -0.01890097    -0.01890201     1.714296e-17  -1.199662e-18    -3.401016e-16   2.893748e-18   
26  0.550202         12.3419         0.877733      0.8777349      -0.01901114    -0.01901207     -3.71496e-17  -1.196806e-18    -3.584313e-16   6.426412e-18   
27  0.546364        12.42861        0.8760798      0.8760816      -0.01912242    -0.01912323     -4.42504e-17  -1.206269e-18       2.6343e-16   9.713412e-18   
28  0.542525        12.51654        0.8743934      0.8743951      -0.01923481    -0.01923552     9.279149e-18  -1.227738e-18      1.63747e-16   1.275416e-17   
29  0.538687        12.60572        0.8726729      0.8726745      -0.01934834    -0.01934893    -1.580539e-17  -1.260867e-18    -1.383455e-16   1.554832e-17   
30  0.534848        12.69619        0.8709173      0.8709188      -0.01946301    -0.01946348    -1.539193e-17  -1.305276e-18    -2.644469e-17   1.809586e-17   
31  0.531010        12.78796        0.8691259      0.8691271      -0.01957883    -0.01957918    -2.066523e-17  -1.360553e-18     1.767936e-16   2.039702e-17   
32  0.527172        12.88107        0.8672975      0.8672986      -0.01969581    -0.01969605     1.760746e-17  -1.426247e-18     2.326201e-16   2.245239e-17   
33  0.523333        12.97555        0.8654311       0.865432      -0.01981397    -0.01981409     2.272744e-17  -1.501871e-18     7.860379e-17   2.426289e-17   
34  0.519495        13.07142        0.8635258      0.8635265      -0.01993331    -0.01993332     3.260365e-17  -1.586896e-18    -3.012319e-16    2.58298e-17   
35  0.515657        13.16872        0.8615805       0.861581      -0.02005385    -0.02005374    -3.603904e-17  -1.680754e-18     -1.85118e-17    2.71548e-17   
36  0.511818        13.26748         0.859594      0.8595943      -0.02017559    -0.02017537     2.997681e-17  -1.782834e-18     2.752204e-16   2.823999e-17   
37  0.507980        13.36773        0.8575652      0.8575654      -0.02029856    -0.02029822     1.814577e-17  -1.892479e-18    -3.510393e-16   2.908789e-17   
38  0.504141        13.46951         0.855493      0.8554929      -0.02042274     -0.0204223    -4.129917e-17  -2.008989e-18    -7.964483e-17    2.97015e-17   
39  0.500303        13.57285        0.8533761      0.8533758      -0.02054817    -0.02054762     2.596963e-18  -2.131612e-18     2.271052e-16   3.008431e-17   
40  0.496465        13.67779        0.8512132      0.8512127      -0.02067484    -0.02067419     5.685815e-18  -2.259551e-18     1.153317e-16   3.024032e-17   
41  0.492626        13.78436         0.849003      0.8490023      -0.02080276    -0.02080201      2.71313e-17  -2.391955e-18     1.060405e-16    3.01741e-17   
42  0.488788        13.89261        0.8467442      0.8467433      -0.02093195     -0.0209311     2.830605e-17  -2.527923e-18    -2.225492e-16   2.989078e-17   
43  0.484949        14.00257        0.8444354      0.8444343       -0.0210624    -0.02106146    -2.183041e-17  -2.666501e-18    -3.882145e-16   2.939612e-17   
44  0.481111        14.11428        0.8420751      0.8420738      -0.02119414     -0.0211931    -5.763256e-17  -2.806679e-18     2.508326e-16    2.86965e-17   
45  0.477273        14.22779        0.8396618      0.8396604      -0.02132715    -0.02132603     3.569032e-17  -2.947391e-18     2.798548e-16     2.7799e-17   
46  0.473434        14.34315         0.837194      0.8371924      -0.02146146    -0.02146026     5.417988e-18  -3.087518e-18    -7.868836e-17   2.671138e-17   
47  0.469596        14.46038          0.83467      0.8346682      -0.02159706    -0.02159579     1.773467e-17  -3.225883e-18    -5.689799e-17   2.544215e-17   
48  0.465758        14.57955        0.8320881      0.8320862      -0.02173396    -0.02173262    -8.346129e-18   -3.36125e-18     2.968663e-17   2.400059e-17   
49  0.461919        14.70071        0.8294467      0.8294447      -0.02187216    -0.02187077     2.536123e-17  -3.492329e-18    -7.871145e-17   2.239679e-17   
50  0.458081        14.82389        0.8267439      0.8267418      -0.02201167    -0.02201022    -2.830256e-17  -3.617773e-18    -8.878113e-17   2.064164e-17   
51  0.454242        14.94915        0.8239779      0.8239757      -0.02215248    -0.02215099      4.02618e-18  -3.736182e-18     1.165557e-17   1.874694e-17   
52  0.450404        15.07655        0.8211467      0.8211444       -0.0222946    -0.02229308    -2.588378e-17  -3.846101e-18     9.109023e-17   1.672535e-17   
53  0.446566        15.20614        0.8182483      0.8182461      -0.02243802    -0.02243648     2.814877e-17  -3.946026e-18    -2.588257e-17   1.459046e-17   
54  0.442727        15.33797        0.8152807      0.8152784      -0.02258275    -0.02258119    -3.364515e-17  -4.034403e-18    -8.878135e-17    1.23568e-17   
55  0.438889        15.47211        0.8122417      0.8122394      -0.02272878    -0.02272721     5.411177e-18  -4.109638e-18     7.888055e-17   1.003987e-17   
56  0.435051        15.60862         0.809129      0.8091268      -0.02287609    -0.02287453    -1.279866e-17  -4.170098e-18    -2.993096e-16   7.656148e-18   
57  0.431212        15.74756        0.8059404      0.8059382       -0.0230247    -0.02302316    -7.743576e-17  -4.214118e-18     1.314417e-16   5.223102e-18   
58  0.427374        15.88899        0.8026733      0.8026713      -0.02317457    -0.02317306     2.554304e-17  -4.240013e-18     3.542077e-16   2.759201e-18   
59  0.423535        16.03299        0.7993254      0.7993235      -0.02332572    -0.02332425     2.270777e-17  -4.246081e-18    -2.305279e-16    2.83913e-19   
60  0.419697        16.17962         0.795894      0.7958923      -0.02347811     -0.0234767    -4.201037e-17   -4.23062e-18     6.030981e-18  -2.182313e-18   
61  0.415859        16.32896        0.7923764      0.7923748      -0.02363173     -0.0236304     2.570378e-17  -4.191939e-18     1.094396e-16  -4.618062e-18   
62  0.412020        16.48108        0.7887698      0.7887684      -0.02378657    -0.02378532    -9.975948e-18  -4.128377e-18    -1.758713e-16  -7.000993e-18   
63  0.408182        16.63606        0.7850713      0.7850701       -0.0239426    -0.02394145    -2.813884e-17  -4.038321e-18    -1.234464e-17  -9.307886e-18   
64  0.404343        16.79399        0.7812778      0.7812769       -0.0240998    -0.02409877    -1.353014e-17  -3.920226e-18     2.387202e-16  -1.151471e-17   
65  0.400505        16.95494        0.7773862      0.7773856      -0.02425813    -0.02425723     4.842573e-17  -3.772647e-18    -7.757115e-18  -1.359673e-17   
66  0.396667          17.119        0.7733932      0.7733929      -0.02441757    -0.02441682    -1.727455e-17  -3.594266e-18    -2.410104e-16  -1.552857e-17   
67  0.392828        17.28628        0.7692955      0.7692954      -0.02457808    -0.02457749    -3.091909e-17  -3.383929e-18     1.283917e-16  -1.728443e-17   
68  0.388990        17.45685        0.7650894      0.7650897      -0.02473962     -0.0247392     2.679516e-17  -3.140688e-18     6.309988e-17  -1.883822e-17   
69  0.385152        17.63082        0.7607712      0.7607719      -0.02490213    -0.02490191    -1.011405e-17  -2.863851e-18     -5.03263e-17  -2.016376e-17   
70  0.381313         17.8083        0.7563372      0.7563382      -0.02506558    -0.02506556     9.674831e-18  -2.553034e-18     5.451493e-17   -2.12351e-17   
71  0.377475        17.98938        0.7517834      0.7517847       -0.0252299     -0.0252301     9.227197e-18  -2.208229e-18    -4.494439e-17   -2.20268e-17   
72  0.373636        18.17419        0.7471055      0.7471071      -0.02539504    -0.02539546    -6.927935e-18   -1.82988e-18     -1.13762e-17   -2.25143e-17   
73  0.369798        18.36283        0.7422993      0.7423012      -0.02556091    -0.02556158     5.270503e-18  -1.418964e-18    -7.478852e-17  -2.267442e-17   
74  0.365960        18.55543        0.7373603      0.7373625      -0.02572745    -0.02572837    -3.599227e-17  -9.770953e-19     1.427083e-16  -2.248586e-17   
75  0.362121        18.75211        0.7322838      0.7322862      -0.02589457    -0.02589574     6.228167e-17  -5.066361e-19     3.681664e-17  -2.192984e-17   
76  0.358283        18.95301        0.7270648      0.7270674      -0.02606219    -0.02606361    -2.330526e-17  -1.082989e-20    -1.844562e-16  -2.099089e-17   
77  0.354444        19.15826        0.7216984      0.7217011      -0.02623018    -0.02623186    -1.158309e-17   5.060486e-19     1.839206e-16  -1.965767e-17   
78  0.350606          19.368        0.7161792       0.716182      -0.02639846    -0.02640038     5.358975e-17    1.03852e-18     1.471164e-16  -1.792408e-17   
79  0.346768        19.58238        0.7105017      0.7105046      -0.02656689    -0.02656905     5.005322e-17   1.579699e-18    -2.154009e-16   -1.57904e-17   
80  0.342929        19.80157        0.7046602       0.704663      -0.02673535    -0.02673772    -4.075605e-17   2.121069e-18    -1.786066e-16  -1.326478e-17   
81  0.339091        20.02571        0.6986487      0.6986514      -0.02690367    -0.02690624    -2.795898e-17   2.652214e-18     6.988364e-17  -1.036486e-17   
82  0.335253        20.25499         0.692461      0.6924635      -0.02707172    -0.02707444    -9.003377e-18    3.16052e-18    -1.306559e-17  -7.119735e-18   
83  0.331414        20.48958        0.6860905      0.6860927      -0.02723931    -0.02724214    -3.452818e-17   3.630825e-18     1.884876e-17  -3.572182e-18   
84  0.327576        20.72967        0.6795306      0.6795324      -0.02740625    -0.02740913     6.455068e-19   4.045017e-18      2.14291e-17   2.186654e-19   
85  0.323737        20.97545        0.6727742      0.6727755      -0.02757235     -0.0275752    -2.482853e-17    4.38158e-18      5.52392e-18   4.174266e-18   
86  0.319899        21.22713         0.665814      0.6658147      -0.02773736     -0.0277401     4.037328e-18   4.615055e-18     5.233632e-17   8.193088e-18   
87  0.316061        21.48492        0.6586423      0.6586423      -0.02790105    -0.02790357     1.454113e-18    4.71544e-18     3.844679e-17   1.214645e-17   
88  0.312222        21.74905        0.6512513      0.6512506      -0.02806315    -0.02806532     2.441078e-17   4.647481e-18    -1.223198e-17   1.587365e-17   
89  0.308384        22.01976        0.6436326      0.6436311      -0.02822336    -0.02822502     -5.73989e-18   4.369865e-18    -3.817752e-17   1.917636e-17   
90  0.304545        22.29729        0.6357777      0.6357754      -0.02838138    -0.02838233     3.980036e-18    3.83429e-18      8.00719e-17   2.181201e-17   
91  0.300707         22.5819        0.6276777      0.6276746      -0.02853685    -0.02853688     3.959119e-17   2.984383e-18    -4.867398e-18   2.348616e-17   
92  0.296869        22.87388        0.6193231      0.6193195      -0.02868941    -0.02868824     2.168524e-19   1.754457e-18    -3.024195e-17   2.384355e-17   
93  0.293030         23.1735        0.6107045      0.6107005      -0.02883864    -0.02883597     2.250033e-17   6.807814e-20     6.000193e-18   2.245772e-17   
94  0.289192        23.48108        0.6018117      0.6018076       -0.0289841    -0.02897955     3.316367e-18  -2.163603e-18    -4.474405e-17   1.881887e-17   
95  0.285354        23.79693        0.5926344      0.5926307      -0.02912531    -0.02911846    -5.248538e-18  -5.043773e-18    -2.153044e-17   1.231971e-17   
96  0.281515        24.12139        0.5831617      0.5831591      -0.02926174    -0.02925208    -1.042181e-17  -8.692193e-18    -2.491135e-17     2.2389e-18   
97  0.277677        24.45483        0.5733825      0.5733819      -0.02939282    -0.02937978    -2.171815e-17  -1.324779e-17    -3.240801e-17  -1.227822e-17   
98  0.273838        24.79761        0.5632852      0.5632879      -0.02951793    -0.02950082    -3.232293e-17  -1.887164e-17    -1.418326e-18   -3.22423e-17   
99  0.270000        25.15014        0.5528577      0.5528654      -0.02957892    -0.02961443    -2.241663e-17  -2.575054e-17     2.810069e-17   -5.88464e-17   
99  0.270000        25.15014        0.5528577      0.5528654      -0.02957892    -0.02961443    -2.241663e-17  -2.575054e-17     2.810069e-17   -5.88464e-17   
